title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,familyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,oncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,physicalTherapyOccupationalTherapy,geriatrics,urgentCare,skilledNursingFacility,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isClinicalGuidelineChanged
Non-Recommended Cervical Cancer Screening in Adolescent Females,N/A,N/A,N/A,443,The percentage of adolescent females 16-20 years of age who were screened unnecessarily for cervical cancer,Patient Safety,Process,National Committee for Quality Assurance,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_443_MIPSCQM.pdf,,,,FALSE,FALSE
Medication Management for People with Asthma,N/A,N/A,N/A,444,The percentage of patients 5-64 years of age during the measurement year who were identified as having persistent asthma and were dispensed appropriate medications that they remained on for at least 75% of their treatment period,Efficiency and Cost Reduction,Process,National Committee for Quality Assurance,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_444_MIPSCQM.pdf,,,,FALSE,FALSE
Risk-Adjusted Operative Mortality for Coronary Artery Bypass Graft (CABG),N/A,N/A,119,445,"Percent of patients aged 18 years and older undergoing isolated CABG who die, including both all deaths occurring during the hospitalization in which the CABG was performed, even if after 30 days, and those deaths occurring after discharge from the hospital, but within 30 days of the procedure",Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_445_MIPSCQM.pdf,,,,FALSE,FALSE
Operative Mortality Stratified by the Five STS-EACTS Mortality Categories,N/A,N/A,733,446,"Percent of patients undergoing index pediatric and/or congenital heart surgery who die, including both 1) all deaths occurring during the hospitalization in which the procedure was performed, even if after 30 days (including patients transferred to other acute care facilities), and 2) those deaths occurring after discharge from the hospital, but within 30 days of the procedure, stratified by the five STAT Mortality Levels, a multi-institutional validated complexity stratification tool",Patient Safety,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_446_MIPSCQM.pdf,,,,FALSE,FALSE
Appropriate Workup Prior to Endometrial Ablation ,N/A,N/A,N/A,448,"Percentage of women, aged 18 years and older, who undergo endometrial sampling or hysteroscopy with biopsy and results documented before undergoing an endometrial ablation",Communication and Care Coordination,Process,Centers for Medicare & Medicaid Services,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_448_MIPSCQM.pdf,,,,FALSE,FALSE
HER2 Negative or Undocumented Breast Cancer Patients Spared Treatment with HER2-Targeted Therapies,N/A,N/A,1857,449,Percentage of female patients (aged 18 years and older) with breast cancer who are human epidermal growth factor receptor 2 (HER2)/neu negative who are not administered HER2-targeted therapies,Efficiency and Cost Reduction,Process,American Society of Clinical Oncology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_449_MIPSCQM.pdf,,,,FALSE,FALSE
Trastuzumab Received By Patients With AJCC Stage I (T1c) - III And HER2 Positive Breast Cancer Receiving Adjuvant Chemotherapy,N/A,N/A,1858,450,"Percentage of female patients (aged 18 years and older) with AJCC stage I (T1c) - III, human epidermal growth factor receptor 2 (HER2) positive breast cancer receiving adjuvant chemotherapy who are also receiving Trastuzumab",Effective Clinical Care,Process,American Society of Clinical Oncology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_450_MIPSCQM.pdf,,,,FALSE,TRUE
RAS (KRAS and NRAS) Gene Mutation Testing Performed for Patients with Metastatic Colorectal Cancer who receive Anti-epidermal Growth Factor Receptor (EGFR) Monoclonal Antibody Therapy,N/A,N/A,1859,451,Percentage of adult patients (aged 18 or over) with metastatic colorectal cancer who receive anti-epidermal growth factor receptor monoclonal antibody therapy for whom RAS (KRAS and NRAS) gene mutation testing was performed,Effective Clinical Care,Process,American Society of Clinical Oncology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_451_MIPSCQM.pdf,,,,FALSE,FALSE
Patients with Metastatic Colorectal Cancer and RAS (KRAS or NRAS) Gene Mutation Spared Treatment with Anti-epidermal Growth Factor Receptor (EGFR) Monoclonal Antibodies,N/A,N/A,1860,452,Percentage of adult patients (aged 18 or over) with metastatic colorectal cancer and RAS (KRAS or NRAS) gene mutation spared treatment with anti-EGFR monoclonal antibodies,Patient Safety,Process,American Society of Clinical Oncology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_452_MIPSCQM.pdf,,,,FALSE,FALSE
Percentage of Patients Who Died from Cancer Receiving Chemotherapy in the Last 14 Days of Life (lower score - better),N/A,N/A,210,453,Percentage of patients who died from cancer receiving chemotherapy in the last 14 days of life,Effective Clinical Care,Process,American Society of Clinical Oncology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_453_MIPSCQM.pdf,,,,FALSE,FALSE
Percentage of Patients who Died from Cancer with More than One Emergency Department Visit in the Last 30 Days of Life (lower score - better),N/A,N/A,N/A,454,Percentage of patients who died from cancer with more than one emergency department visit in the last 30 days of life,Effective Clinical Care,Outcome,American Society of Clinical Oncology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_454_MIPSCQM.pdf,,,,FALSE,FALSE
Percentage of Patients Who Died from Cancer Admitted to the Intensive Care Unit (ICU) in the Last 30 Days of Life (lower score - better),N/A,N/A,213,455,Percentage of patients who died from cancer admitted to the ICU in the last 30 days of life,Effective Clinical Care,Outcome,American Society of Clinical Oncology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_455_MIPSCQM.pdf,,,,FALSE,FALSE
Percentage of Patients Who Died From Cancer Not Admitted To Hospice (lower score - better),N/A,N/A,215,456,Percentage of patients who died from cancer not admitted to hospice,Effective Clinical Care,Process,American Society of Clinical Oncology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_456_MIPSCQM.pdf,,,,FALSE,FALSE
Percentage of Patients Who Died from Cancer Admitted to Hospice for Less than 3 days (lower score - better),N/A,N/A,216,457,"Percentage of patients who died from cancer, and admitted to hospice and spent less than 3 days there",Effective Clinical Care,Outcome,American Society of Clinical Oncology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_457_MIPSCQM.pdf,,,,FALSE,FALSE
All-cause Hospital Readmission,N/A,N/A,1789,458,The 30-day All-Cause Hospital Readmission measure is a risk-standardized readmission rate for beneficiaries age 65 or older who were hospitalized at a short-stay acute care hospital and experienced an unplanned readmission for any cause to an acute care hospital within 30 days of discharge,Communication and Care Coordination ,Outcome,Yale University,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,costScore,2017,null,,TRUE,TRUE,,1,,N/A,,,,,,FALSE,FALSE
Average Change in Back Pain Following Lumbar Discectomy/Laminotomy,N/A,N/A,N/A,459,The average change (preoperative to three months postoperative) in back pain for patients 18 years of age or older who had a lumbar discectomy/laminotomy procedure,Person and Caregiver-Centered Experience and Outcomes,Patient Reported Outcome,Minnesota Community Measurement ,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,nonProportion,2018,null,,TRUE,FALSE,,2,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_459_MIPSCQM.pdf,,,,FALSE,FALSE
Average Change in Back Pain Following Lumbar Fusion,N/A,N/A,N/A,460,The average change (preoperative to one year postoperative) in back pain for patients 18 years of age or older who had a lumbar fusion procedure,Person and Caregiver-Centered Experience and Outcomes,Patient Reported Outcome,Minnesota Community Measurement,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,nonProportion,2018,null,,TRUE,FALSE,,2,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_460_MIPSCQM.pdf,,,,FALSE,FALSE
Average Change in Leg Pain Following Lumbar Discectomy and/or Laminotomy,N/A,N/A,N/A,461,The average change (preoperative to three months postoperative) in leg pain for patients 18 years of age or older who had a lumbar discectomy/laminotomy procedure,Person and Caregiver-Centered Experience and Outcomes,Patient Reported Outcome,Minnesota Community Measurement ,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,nonProportion,2018,null,,TRUE,FALSE,,2,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_461_MIPSCQM.pdf,,,,FALSE,FALSE
Bone Density Evaluation for Patients with Prostate Cancer and Receiving Androgen Deprivation Therapy,CMS645v2,N/A,N/A,462,"Patients determined as having prostate cancer who are currently starting or undergoing androgen deprivation therapy (ADT), for an anticipated period of 12 months or greater (indicated by HCPCS code) and who receive an initial bone density evaluation. The bone density evaluation must be prior to the start of ADT or within 3 months of the start of ADT",Effective Clinical Care,Process,Oregon Urology Institute ,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2018,null,,FALSE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms645v2,FALSE,FALSE
Prevention of Post-Operative Vomiting (POV) - Combination Therapy (Pediatrics),N/A,N/A,N/A,463,"Percentage of patients aged 3 through 17 years, who undergo a procedure under general anesthesia in which an inhalational anesthetic is used for maintenance AND who have two or more risk factors for post-operative vomiting (POV), who receive combination therapy consisting of at least two prophylactic pharmacologic anti-emetic agents of different classes preoperatively and/or intraoperatively",Patient Safety,Process,American Society of Anesthesiologists,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2018,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_463_MIPSCQM.pdf,,,,FALSE,FALSE
Otitis Media with Effusion: Systemic Antimicrobials - Avoidance of Inappropriate Use,N/A,N/A,657,464,Percentage of patients aged 2 months through 12 years with a diagnosis of OME who were not prescribed systemic antimicrobials,Effective Clinical Care,Process,American Academy of Otolaryngology - Head and Neck Surgery Foundation,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,singlePerformanceRate,2018,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_464_MIPSCQM.pdf,,,,FALSE,FALSE
Uterine Artery Embolization Technique: Documentation of Angigraphic Endpoints and Interrogation of Ovarian Arteries,N/A,N/A,N/A,465,The percentage of patients with documentation of angiographic endpoints of embolization AND the documentation of embolization strategies in the presence of unilateral or bilateral absent uterine arteries,Patient Safety,Process,Society of Interventional Radiology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2018,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_465_MIPSCQM.pdf,,,,FALSE,FALSE
Developmental Screening in the First Three Years of Life,N/A,N/A,1448,467,"The percentage of children screened for risk of developmental, behavioral and social delays using a standardized screening tool in the 12 months preceding or on their first, second, or third birthday. This is a composite measure of screening in the first three years of life that includes three, age-specific indicators assessing whether children are screened in the 12 months preceding or on their first, second or third birthday",Community/Population Health,Process,Oregon Health & Science University,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2018,null,,FALSE,FALSE,,4,,overallStratumOnly,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_467_MIPSCQM.pdf,,,,FALSE,FALSE
Continuity of Pharmacotherapy for Opioid Use Disorder (OUD),N/A,N/A,3175,468,Percentage of adults aged 18 years and older with pharmacotherapy for opioid use disorder (OUD) who have at least 180 days of continuous treatment,Effective Clinical Care,Process,University of Southern California,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2019,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_468_MIPSCQM.pdf,,,,FALSE,FALSE
Average Change in Functional Status Following Lumbar Fusion Surgery,N/A,N/A,2643,469,The average change (preoperative to postoperative) in functional status using the Oswestry Disability Index (ODI version 2. 1a) for patients 18 years of age and older who had a lumbar fusion procedure,Person and Caregiver-Centered Experience and Outcomes,Patient Reported Outcome,Minnesota Community Measurement,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,nonProportion,2019,null,,TRUE,FALSE,,2,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_469_MIPSCQM.pdf,,,,FALSE,FALSE
Average Change In Functional Status Following Total Knee Replacement Surgery,N/A,N/A,2653,470,The average change (preoperative to postoperative) in functional status using the Oxford Knee Score (OKS) for patients age 18 and older who had a primary total knee replacement,Person and Caregiver-Centered Experience and Outcomes,Patient Reported Outcome,Minnesota Community Measurement,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nonProportion,2019,null,,TRUE,FALSE,,2,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_470_MIPSCQM.pdf,,,,FALSE,FALSE
Average Change in Functional Status Following Lumbar Discectomy/Laminotomy Surgery,N/A,N/A,N/A,471,The average change (preoperative to postoperative) in functional status using the Oswestry Disability Index (ODI version 2.1a) for patients age 18 and older who had lumbar discectomy/laminotomy procedure,Person and Caregiver-Centered Experience and Outcomes,Patient Reported Outcome,Minnesota Community Measurement,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,nonProportion,2019,null,,TRUE,FALSE,,2,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_471_MIPSCQM.pdf,,,,FALSE,FALSE
Appropriate Use of DXA Scans in Women Under 65 Years Who Do Not Meet the Risk Factor Profile for Osteoporotic Fracture,CMS249v1,N/A,N/A,472,Percentage of female patients 50 to 64 years of age without select risk factors for osteoporotic fracture who received an order for a dual-energy x-ray absorptiometry (DXA) scan during the measurement period.,Efficiency and Cost Reduction,Process,Centers for Medicare & Medicaid Services,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2019,null,,TRUE,TRUE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms249v1,FALSE,FALSE
Average Change in Leg Pain Following Lumbar Fusion Surgery,N/A,N/A,N/A,473,The average change (preoperative to one year postoperative) in leg pain for patients 18 years of age or older who had a lumbar fusion procedure,Person and Caregiver-Centered Experience and Outcomes,Patient Reported Outcome,Minnesota Community Measurement,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,nonProportion,2019,null,,TRUE,FALSE,,2,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_473_MIPSCQM.pdf,,,,FALSE,FALSE
Zoster (Shingles) Vaccination,N/A,N/A,N/A,474,The percentage of patients aged 50 years and older who have had the Shingrix zoster (shingles) vaccination.,Community/Population Health,Process,PPRNet,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,X,X,-,-,-,X,-,X,-,singlePerformanceRate,2019,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_474_MIPSCQM.pdf,,,,FALSE,FALSE
HIV Screening,CMS349v1,N/A,N/A,475,Percentage of patients 15-65 years of age who have been tested for HIV within that age range,Community/Population Health,Process,Centers for Disease Control and Prevention,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,singlePerformanceRate,2019,null,,FALSE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms349v1,FALSE,FALSE
